Match Number,Round Number,Date,Location,Home Team,Away Team,Result
159,18,17/01/2025 19:30,Deutsche Bank Park,Frankfurt,Dortmund,2 - 0
154,18,18/01/2025 14:30,Holstein-Stadion,Holstein Kiel,Hoffenheim,1 - 3
155,18,18/01/2025 14:30,Vonovia Ruhrstadion,VfL Bochum 1848,Leipzig,3 - 3
158,18,18/01/2025 14:30,Voith-Arena,1. Heidenheim,FC St. Pauli,0 - 2
160,18,18/01/2025 14:30,Allianz Arena,Bayern München,VfL Wolfsburg,3 - 2
161,18,18/01/2025 14:30,MHPArena,Sttuttgart,SC Freiburg,4 - 0
162,18,18/01/2025 17:30,BayArena,Leverkusen,Borussia Mönchengladbach,3 - 1
156,18,19/01/2025 14:30,An der Alten Försterei,1. FC Union Berlin,1. FSV Mainz 05,2 - 1
157,18,19/01/2025 16:30,Weser-Stadion,SV Werder Bremen,FC Augsburg,0 - 2
166,19,24/01/2025 19:30,Volkswagen Arena,VfL Wolfsburg,Holstein Kiel,2 - 2
165,19,25/01/2025 14:30,Mewa Arena,1. FSV Mainz 05,Sttuttgart,2 - 0
167,19,25/01/2025 14:30,WWK Arena,FC Augsburg,1. Heidenheim,2 - 1
