Match Number,Round Number,Date,Location,Home Team,Away Team,Result
49,6,22/09/2024 17:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Antalyaspor,0 - 0
46,6,22/09/2024 20:00,New Adana Stadium,Adana Demirspor,Alanyaspor,0 - 2
50,6,22/09/2024 20:00,Besiktas Park,Besiktas,Eyüpspor,2 - 1
52,6,23/09/2024 20:00,Kalyon Stadium,Gaziantep,Trabzonspor,0 - 0
53,6,23/09/2024 20:00,Gürsel Aksel Stadium,Göztepe,Kayserispor,3 - 0
55,7,27/09/2024 20:00,New Sivas 4 Eylül Stadium,Sivasspor,Istanbul Basaksehir,1 - 2
62,7,28/09/2024 16:00,Samsun 19 Mayis Stadium,Samsunspor,Göztepe,4 - 3
59,7,28/09/2024 19:00,Rams Park,Galatasaray,Kasimpasa,3 - 3
60,7,28/09/2024 19:00,Alanya Oba Stadium,Alanyaspor,Çaykur Rizespor,1 - 0
56,7,29/09/2024 16:00,Papara Park,Trabzonspor,Konyaspor,3 - 2
58,7,29/09/2024 16:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Gaziantep,3 - 2
61,7,29/09/2024 19:00,Corendon Airlines Park,Antalyaspor,Fenerbahçe,0 - 2
63,7,29/09/2024 19:00,Bodrum District Stadium,Bodrum,Adana Demirspor,3 - 1
57,7,30/09/2024 20:00,RHG Enertürk Enerji Stadium,Kayserispor,Besiktas,0 - 3
66,8,04/10/2024 20:00,Rize City Stadium,Çaykur Rizespor,Antalyaspor,2 - 1
67,8,05/10/2024 13:30,Recep Tayyip Erdogan Stadium,Kasimpasa,Bodrum,0 - 0
71,8,05/10/2024 16:00,Gürsel Aksel Stadium,Göztepe,Sivasspor,3 - 2
65,8,05/10/2024 19:00,Mersin Stadium,Hatayspor,Trabzonspor,1 - 1
72,8,05/10/2024 19:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Kayserispor,1 - 1
69,8,06/10/2024 13:30,Konya Metropolitan Municipality Stadium,Konyaspor,Eyüpspor,2 - 1
64,8,06/10/2024 16:00,New Adana Stadium,Adana Demirspor,Samsunspor,1 - 3
68,8,06/10/2024 19:00,Rams Park,Galatasaray,Alanyaspor,1 - 0
70,8,06/10/2024 19:00,Kalyon Stadium,Gaziantep,Besiktas,1 - 1
75,9,19/10/2024 13:30,RHG Enertürk Enerji Stadium,Kayserispor,Gaziantep,2 - 2
74,9,19/10/2024 16:00,Papara Park,Trabzonspor,Istanbul Basaksehir,1 - 0
76,9,19/10/2024 19:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Göztepe,1 - 0
79,9,19/10/2024 19:00,Corendon Airlines Park,Antalyaspor,Galatasaray,0 - 3
73,9,20/10/2024 13:30,New Sivas 4 Eylül Stadium,Sivasspor,Hatayspor,3 - 2
77,9,20/10/2024 16:00,Besiktas Park,Besiktas,Konyaspor,2 - 0
78,9,20/10/2024 19:00,Alanya Oba Stadium,Alanyaspor,Kasimpasa,1 - 2
80,9,20/10/2024 19:00,Samsun 19 Mayis Stadium,Samsunspor,Fenerbahçe,2 - 2
81,9,21/10/2024 20:00,Bodrum District Stadium,Bodrum,Çaykur Rizespor,0 - 1
82,10,25/10/2024 20:00,New Adana Stadium,Adana Demirspor,Sivasspor,2 - 4
84,10,26/10/2024 13:30,Mersin Stadium,Hatayspor,Kayserispor,0 - 1
85,10,26/10/2024 16:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Samsunspor,1 - 4
89,10,26/10/2024 19:00,Gürsel Aksel Stadium,Göztepe,Trabzonspor,2 - 1
88,10,27/10/2024 13:30,Kalyon Stadium,Gaziantep,Konyaspor,3 - 1
87,10,27/10/2024 16:00,Alanya Oba Stadium,Alanyaspor,Antalyaspor,1 - 2
83,10,27/10/2024 19:00,Ülker Stadium,Fenerbahçe,Bodrum,2 - 0
90,10,28/10/2024 17:00,Basaksehir Fatih Terim Stadium,Istanbul Basaksehir,Eyüpspor,1 - 1
86,10,28/10/2024 20:00,Rams Park,Galatasaray,Besiktas,2 - 1
97,11,01/11/2024 20:00,Kalyon Stadium,Gaziantep,Göztepe,2 - 1
91,11,02/11/2024 13:30,New Sivas 4 Eylül Stadium,Sivasspor,Çaykur Rizespor,2 - 1
93,11,02/11/2024 16:00,RHG Enertürk Enerji Stadium,Kayserispor,Adana Demirspor,0 - 0
95,11,02/11/2024 19:00,Besiktas Park,Besiktas,Kasimpasa,1 - 3
96,11,03/11/2024 13:30,Konya Metropolitan Municipality Stadium,Konyaspor,Istanbul Basaksehir,3 - 2
94,11,03/11/2024 16:00,Recep Tayyip Erdogan Stadium,Eyüpspor,Hatayspor,2 - 0
99,11,03/11/2024 16:00,Bodrum District Stadium,Bodrum,Alanyaspor,0 - 0
92,11,03/11/2024 19:00,Papara Park,Trabzonspor,Fenerbahçe,2 - 3
98,11,04/11/2024 20:00,Samsun 19 Mayis Stadium,Samsunspor,Antalyaspor,2 - 0
103,12,08/11/2024 20:00,Recep Tayyip Erdogan Stadium,Kasimpasa,Kayserispor,1 - 2
106,12,09/11/2024 13:30,Corendon Airlines Park,Antalyaspor,Bodrum,3 - 2
105,12,09/11/2024 16:00,Mersin Stadium,Hatayspor,Gaziantep,3 - 1
