Round,Match,Home Team,Away Team,Home Goals,Away Goals,Home Elo Before,Away Elo Before,Home Elo After,Away Elo After
24,Çaykur Rizespor vs Galatasaray,Çaykur Rizespor,Galatasaray,1.0,2.0,1442.4271764782534,1789.8661444049208,1430.788561306545,1801.504759576629
25,Eyüpspor vs Besiktas,Eyüpspor,Besiktas,1.0,3.0,1609.0737649701243,1575.0408583101819,1547.5266107735636,1636.5880125067426
25,Bodrum vs Hatayspor,Bodrum,Hatayspor,1.0,0.0,1411.1724562859702,1310.3990765492042,1425.5389400091651,1296.0325928260092
25,Sivasspor vs Konyaspor,Sivasspor,Konyaspor,1.0,1.0,1353.2818630383051,1391.4007594656791,1346.0116172563623,1398.671005247622
25,Antalyaspor vs Kasimpasa,Antalyaspor,Kasimpasa,2.0,1.0,1407.8072420262174,1548.4757805899794,1441.302895243501,1514.9801273726957
25,Samsunspor vs Çaykur Rizespor,Samsunspor,Çaykur Rizespor,2.0,3.0,1603.0399461673308,1430.788561306545,1553.3968589606468,1480.431648513229
25,Kayserispor vs Göztepe,Kayserispor,Göztepe,1.0,0.0,1415.9047434208983,1548.7386494324426,1448.731440763125,1515.911952090216
25,Alanyaspor vs Adana Demirspor,Alanyaspor,Adana Demirspor,3.0,2.0,1486.2032265756857,1259.008014340683,1494.1225580252496,1251.088682891119
25,Trabzonspor vs Gaziantep,Trabzonspor,Gaziantep,3.0,2.0,1522.7135652643594,1487.6072144498776,1541.6020645274843,1468.7187151867527
25,Galatasaray vs Fenerbahçe,Galatasaray,Fenerbahçe,0.0,0.0,1801.504759576629,1817.2777321203919,1791.6961352971216,1827.0863563998994
26,Adana Demirspor vs Bodrum,Adana Demirspor,Bodrum,0.0,0.0,1251.088682891119,1425.5389400091651,1259.7950875072456,1416.8325353930386
26,Besiktas vs Kayserispor,Besiktas,Kayserispor,2.0,0.0,1636.5880125067426,1448.731440763125,1651.0024422191452,1434.3170110507224
26,Çaykur Rizespor vs Alanyaspor,Çaykur Rizespor,Alanyaspor,3.0,1.0,1480.431648513229,1494.1225580252496,1514.4772740810677,1460.076932457411
26,Kasimpasa vs Galatasaray,Kasimpasa,Galatasaray,3.0,3.0,1514.9801273726957,1791.6961352971216,1534.3212924307716,1772.3549702390458
26,Fenerbahçe vs Antalyaspor,Fenerbahçe,Antalyaspor,3.0,0.0,1827.0863563998994,1441.302895243501,1833.1258857903438,1435.2633658530567
26,Konyaspor vs Trabzonspor,Konyaspor,Trabzonspor,1.0,0.0,1398.671005247622,1541.6020645274843,1432.3592188818848,1507.9138508932215
